timestamp,count,event_type
31169950,4221208,sync_qpc_time
31170372,4221208,cpu_time
31253191,4221209,sync_qpc_time
31253402,4221209,cpu_time
31336544,4221210,sync_qpc_time
31336801,4221210,cpu_time
31419871,4221211,sync_qpc_time
31420081,4221211,cpu_time
31503262,4221212,sync_qpc_time
31503514,4221212,cpu_time
31586606,4221213,sync_qpc_time
31586865,4221213,cpu_time
31669899,4221214,sync_qpc_time
31670124,4221214,cpu_time
31753287,4221215,sync_qpc_time
31753962,4221215,cpu_time
31836607,4221216,sync_qpc_time
31836811,4221216,cpu_time
31919956,4221217,sync_qpc_time
31920190,4221217,cpu_time
32003300,4221218,sync_qpc_time
32003957,4221218,cpu_time
32086710,4221219,sync_qpc_time
32086940,4221219,cpu_time
32169987,4221220,sync_qpc_time
32170187,4221220,cpu_time
32253340,4221221,sync_qpc_time
32253624,4221221,cpu_time
32336705,4221222,sync_qpc_time
32336988,4221222,cpu_time
32420024,4221223,sync_qpc_time
32420274,4221223,cpu_time
32503375,4221224,sync_qpc_time
32503622,4221224,cpu_time
32586761,4221225,sync_qpc_time
32586977,4221225,cpu_time
32670065,4221226,sync_qpc_time
32670315,4221226,cpu_time
32753410,4221227,sync_qpc_time
32753631,4221227,cpu_time
32836806,4221228,sync_qpc_time
32837069,4221228,cpu_time
32920167,4221229,sync_qpc_time
32920449,4221229,cpu_time
33003529,4221230,sync_qpc_time
33003804,4221230,cpu_time
33086844,4221231,sync_qpc_time
33087091,4221231,cpu_time
33170162,4221232,sync_qpc_time
33170412,4221232,cpu_time
33253572,4221233,sync_qpc_time
33253916,4221233,cpu_time
33336878,4221234,sync_qpc_time
33337136,4221234,cpu_time
33420260,4221235,sync_qpc_time
33420522,4221235,cpu_time
33503534,4221236,sync_qpc_time
33503768,4221236,cpu_time
33586885,4221237,sync_qpc_time
33587132,4221237,cpu_time
33670271,4221238,sync_qpc_time
33670506,4221238,cpu_time
33753598,4221239,sync_qpc_time
33753874,4221239,cpu_time
33836929,4221240,sync_qpc_time
33837161,4221240,cpu_time
33920301,4221241,sync_qpc_time
33920660,4221241,cpu_time
34003650,4221242,sync_qpc_time
34003902,4221242,cpu_time
34086977,4221243,sync_qpc_time
34087201,4221243,cpu_time
34170415,4221244,sync_qpc_time
34170766,4221244,cpu_time
34253643,4221245,sync_qpc_time
34253888,4221245,cpu_time
34336998,4221246,sync_qpc_time
34337274,4221246,cpu_time
34420335,4221247,sync_qpc_time
34420553,4221247,cpu_time
34503786,4221248,sync_qpc_time
34504095,4221248,cpu_time
34587190,4221249,sync_qpc_time
34587792,4221249,cpu_time
34670451,4221250,sync_qpc_time
34670708,4221250,cpu_time
34753835,4221251,sync_qpc_time
34754123,4221251,cpu_time
34837074,4221252,sync_qpc_time
34837319,4221252,cpu_time
34920469,4221253,sync_qpc_time
34920738,4221253,cpu_time
35003767,4221254,sync_qpc_time
35004003,4221254,cpu_time
35087182,4221255,sync_qpc_time
35087460,4221255,cpu_time
35170506,4221256,sync_qpc_time
35170755,4221256,cpu_time
35253843,4221257,sync_qpc_time
35254150,4221257,cpu_time
35337187,4221258,sync_qpc_time
35337431,4221258,cpu_time
35420561,4221259,sync_qpc_time
35420820,4221259,cpu_time
35503846,4221260,sync_qpc_time
35504080,4221260,cpu_time
35587251,4221261,sync_qpc_time
35587684,4221261,cpu_time
35670597,4221262,sync_qpc_time
35670892,4221262,cpu_time
35753889,4221263,sync_qpc_time
35754210,4221263,cpu_time
35837217,4221264,sync_qpc_time
35837450,4221264,cpu_time
35920585,4221265,sync_qpc_time
35920808,4221265,cpu_time
36003952,4221266,sync_qpc_time
36004278,4221266,cpu_time
36087343,4221267,sync_qpc_time
36087690,4221267,cpu_time
36170618,4221268,sync_qpc_time
36170882,4221268,cpu_time
36253970,4221269,sync_qpc_time
36254222,4221269,cpu_time
36337292,4221270,sync_qpc_time
36337529,4221270,cpu_time
36420683,4221271,sync_qpc_time
36420955,4221271,cpu_time
36504024,4221272,sync_qpc_time
36504297,4221272,cpu_time
36587396,4221273,sync_qpc_time
36587669,4221273,cpu_time
36670680,4221274,sync_qpc_time
36670905,4221274,cpu_time
36754103,4221275,sync_qpc_time
36754402,4221275,cpu_time
36837378,4221276,sync_qpc_time
36837609,4221276,cpu_time
36920752,4221277,sync_qpc_time
36921028,4221277,cpu_time
37004134,4221278,sync_qpc_time
